,sfc_id,time,type,id
0,7,37.0,1,0
1,6,38.0,1,1
2,7,39.81539477712871,0,2
3,12,41.0,1,3
4,27,41.0,1,4
5,9,42.0,1,5
6,22,42.0,1,6
7,11,43.0,1,7
8,20,43.0,1,8
9,1,44.0,1,9
10,0,45.0,1,10
11,25,45.0,1,11
12,23,46.0,1,12
13,10,47.0,1,13
14,17,47.0,1,14
15,13,48.0,1,15
16,26,48.0,1,16
17,8,50.0,1,17
18,29,50.0,1,18
19,24,51.0,1,19
20,28,51.0,1,20
21,18,52.0,1,21
22,19,53.0,1,22
23,2,54.0,1,23
24,10,54.309359767249646,0,24
25,19,55.843130437279946,0,25
26,16,56.0,1,26
27,21,56.0,1,27
28,3,58.0,1,28
29,15,58.0,1,29
30,14,60.0,1,30
31,4,67.0,1,31
32,5,69.0,1,32
33,11,76.13041622143358,0,33
34,21,115.3581355953975,0,34
35,15,134.92367647498133,0,35
36,39,137.0,1,36
37,33,139.0,1,37
38,36,141.0,1,38
39,57,142.0,1,39
40,44,144.0,1,40
41,53,144.0,1,41
42,30,145.0,1,42
43,58,145.0,1,43
44,50,146.0,1,44
45,49,149.0,1,45
46,52,149.0,1,46
47,56,149.0,1,47
48,45,151.0,1,48
49,55,151.0,1,49
50,59,152.0,1,50
51,40,153.0,1,51
52,35,154.0,1,52
53,26,154.25884154792715,0,53
54,34,155.0,1,54
55,38,155.0,1,55
56,42,155.0,1,56
57,37,157.0,1,57
58,48,157.0,1,58
59,31,158.0,1,59
60,43,158.0,1,60
61,32,159.0,1,61
62,41,161.0,1,62
63,51,165.0,1,63
64,46,166.0,1,64
65,54,168.0,1,65
66,47,169.0,1,66
67,4,170.83215657669675,0,67
68,32,176.61169164136902,0,68
69,0,182.55587880135906,0,69
70,52,184.62860978808388,0,70
71,39,188.30335281055565,0,71
72,58,200.89305677793772,0,72
73,30,218.0082983537166,0,73
74,1,229.04215618775922,0,74
75,60,235.0,1,75
76,85,241.0,1,76
77,62,242.0,1,77
78,87,242.0,1,78
79,63,243.0,1,79
80,69,243.0,1,80
81,23,244.13584800021732,0,81
82,72,246.0,1,82
83,73,246.0,1,83
84,80,246.0,1,84
85,81,247.0,1,85
86,68,249.0,1,86
87,70,250.0,1,87
88,65,251.0,1,88
89,66,251.0,1,89
90,71,251.0,1,90
91,79,251.0,1,91
92,86,251.0,1,92
